country,year,parity,mean_age_at_birth,n
Gabon,2012,6,21.199136227539483,1380
Gabon,2012,7,20.63317233465085,928
Gabon,2012,8,20.11450246073962,587
Gabon,2012,9,19.548533287236445,361
Gabon,2012,10,19.14505660988362,187
Gabon,2012,11,18.312012038564145,93
Gabon,2012,12,17.045828295264382,41
Gabon,2012,13,18.69551896841909,11
Gabon,2012,14,20.710242091171327,4
Gabon,2012,15,19.51116487816292,3
Gabon,2012,16,16.66074544079246,2
Gabon,2019,1,27.681354852015136,6916
Gabon,2019,2,25.49093057491514,5277
Gabon,2019,3,23.926674908577414,3832
Gabon,2019,4,22.756208084952767,2653
Gabon,2019,5,21.859676503173194,1800
Gabon,2019,6,20.94996519527861,1160
Gabon,2019,7,20.21397346581293,715
Gabon,2019,8,19.424374083148066,431
Gabon,2019,9,19.06028450348646,230
Gabon,2019,10,17.80444486489081,112
Gabon,2019,11,16.97907064100876,63
Gabon,2019,12,16.20415486864484,29
Gabon,2019,13,14.31944578598344,14
Gambia,2013,1,28.187611142077646,6845
Gambia,2013,2,26.52217568573283,5475
Gambia,2013,3,24.962928357839388,4333
Gambia,2013,4,23.66840194530993,3342
Gambia,2013,5,22.3707422354874,2488
Gambia,2013,6,21.17908086365763,1743
Gambia,2013,7,20.14857842860422,1108
Gambia,2013,8,18.961999147678263,664
Gambia,2013,9,18.470899186109857,344
Gambia,2013,10,18.072882078289606,163
Gambia,2013,11,17.260507053672978,68
Gambia,2013,12,17.985347948852777,21
Gambia,2013,13,17.553507933410053,5
Gambia,2013,14,17.333333333333332,1
Gambia,2013,15,16.083333333333332,1
Gambia,2019,1,28.88361197972019,7924
Gambia,2019,2,27.048653157069946,6459
Gambia,2019,3,25.422948889407515,5208
Gambia,2019,4,24.181883760807157,4002
Gambia,2019,5,22.904708462815158,2989
Gambia,2019,6,21.832335235542708,2082
Gambia,2019,7,20.752956806494392,1419
Gambia,2019,8,19.99086990724952,854
Gambia,2019,9,19.433144811761316,437
Gambia,2019,10,18.73612588536352,188
Gambia,2019,11,18.2396838800686,70
Gambia,2019,12,18.102472590793532,23
Gambia,2019,13,17.108021268244336,8
Gambia,2019,14,19.14362593735548,2
Ghana,1993,1,28.379148834997626,3505
Ghana,1993,2,26.750147232037694,2830
Ghana,1993,3,25.56292671825216,2197
Ghana,1993,4,24.294111716071786,1653
Ghana,1993,5,23.418664383561644,1168
Ghana,1993,6,22.662970004224757,789
Ghana,1993,7,21.580241187384043,539
Ghana,1993,8,20.84664536741214,313
Ghana,1993,9,19.98699421965318,173
Ghana,1993,10,19.342261904761905,84
Ghana,1993,11,18.99425287356322,29
Ghana,1993,12,19.522727272727273,11
Ghana,1993,13,17.555555555555557,6
Ghana,1993,14,19.166666666666668,1
Ghana,1998,1,28.507598688089956,3499
Ghana,1998,2,26.695831912660527,2798
Ghana,1998,3,25.400250242526184,2170
Ghana,1998,4,24.167659511087216,1642
Ghana,1998,5,23.152163016375575,1177
Ghana,1998,6,22.06979908355783,815
Ghana,1998,7,21.275708774143826,501
Ghana,1998,8,20.493163355570843,291
Ghana,1998,9,19.95382797292443,162
Ghana,1998,10,19.54784752851787,80
Ghana,1998,11,19.244933371356748,35
Ghana,1998,12,19.3216140225639,12
Ghana,1998,13,18.547197224311468,4
Ghana,1998,14,18.265271759615832,2
Ghana,2003,1,28.925529921491975,3992
Ghana,2003,2,27.076411136161916,3200
Ghana,2003,3,25.475516202699925,2522
Ghana,2003,4,24.28945678294801,1879
Ghana,2003,5,23.172770851459724,1364
Ghana,2003,6,22.206960543758814,940
Ghana,2003,7,21.301795375950356,576
Ghana,2003,8,20.510853413582243,336
Ghana,2003,9,19.455711969661184,161
Ghana,2003,10,19.117236371088335,68
Ghana,2003,11,18.434163578760753,31
Ghana,2003,12,17.61156880178051,14
Ghana,2003,13,15.790698688526833,3
Ghana,2008,1,28.73619212553402,3299
Ghana,2008,2,26.68518377231423,2648
Ghana,2008,3,25.1251084141148,2004
Ghana,2008,4,23.90068467516898,1458
Ghana,2008,5,22.84963956483962,991
Ghana,2008,6,21.95672863431568,649
Ghana,2008,7,21.06740804232671,406
Ghana,2008,8,20.537917652969014,231
Ghana,2008,9,20.128903522761473,113
Ghana,2008,10,19.939740371715164,53
Ghana,2008,11,19.283795529363356,23
Ghana,2008,12,19.879022621131178,8
Ghana,2008,13,19.33468098826287,4
Ghana,2008,14,17.75,1
Ghana,2014,1,29.19715047267925,6511
Ghana,2014,2,26.92869830206002,5208
Ghana,2014,3,25.313452642388707,3954
Ghana,2014,4,23.877629730154975,2883
Ghana,2014,5,22.575792595673544,1976
Ghana,2014,6,21.70283305234038,1233
Ghana,2014,7,20.990253294271675,684
Ghana,2014,8,20.451284132002172,361
Ghana,2014,9,19.656498475221714,194
Ghana,2014,10,19.05553138195497,76
Ghana,2014,11,19.255500735804464,27
Ghana,2014,12,18.710914528834678,9
Ghana,2014,13,17.194923124527914,2
Ghana,2022,1,29.438259067337764,10356
Ghana,2022,2,27.37087368436645,7991
Ghana,2022,3,25.573446157772455,6040
Ghana,2022,4,24.02724730661865,4273
Ghana,2022,5,22.805705307797606,2743
Ghana,2022,6,21.790873901128325,1627
Ghana,2022,7,20.904411338961474,891
Ghana,2022,8,20.211720050040313,427
Ghana,2022,9,19.152280189914674,203
Ghana,2022,10,18.716650395152822,73
Ghana,2022,11,20.0367180553003,25
Ghana,2022,12,18.123804504232922,10
Ghana,2022,13,16.17808318696494,4
Guinea,1999,1,27.85973447233132,5413
Guinea,1999,2,26.273930384171372,4516
Guinea,1999,3,24.95389028350643,3717
Guinea,1999,4,23.682328177093588,2984
Guinea,1999,5,22.540971599176356,2271
Guinea,1999,6,21.416033129987778,1645
Guinea,1999,7,20.38181917033939,1100
Guinea,1999,8,19.59770597721553,649
Guinea,1999,9,18.6647202565187,388
Guinea,1999,10,18.01763433532892,173
Guinea,1999,11,17.608044759977204,61
Guinea,1999,12,18.901428326280204,15
Guinea,1999,13,19.427315845163122,6
Guinea,1999,14,18.803025739438244,3
Guinea,1999,15,17.5,1
Guinea,1999,16,15.333333333333334,1
Guinea,2005,1,28.486501666483306,6259
Guinea,2005,2,26.761477601263348,5291
Guinea,2005,3,25.364288512002588,4399
Guinea,2005,4,24.121453057322864,3554
Guinea,2005,5,23.103404952189884,2713
Guinea,2005,6,21.983618036800394,2006
Guinea,2005,7,20.859298584981868,1359
Guinea,2005,8,20.011217174065674,819
Guinea,2005,9,19.376105517210615,416
Guinea,2005,10,18.679739086101776,186
Guinea,2005,11,17.725470162933924,82
Guinea,2005,12,16.850546978853963,24
Guinea,2005,13,18.618783675271267,4
Guinea,2005,14,18.86291487959677,2
Guinea,2005,15,15.083333333333334,1
Guinea,2012,1,27.60151281982223,6950
Guinea,2012,2,26.008542504129334,5646
Guinea,2012,3,24.824845143450425,4495
Guinea,2012,4,23.50380233011567,3545
Guinea,2012,5,22.17874432736433,2686
Guinea,2012,6,21.26010737780197,1860
Guinea,2012,7,20.344436367879773,1207
Guinea,2012,8,19.458901421924587,705
Guinea,2012,9,18.73739133361514,354
Guinea,2012,10,18.14703750444491,154
Guinea,2012,11,17.407520303416042,59
Guinea,2012,12,17.3895568097334,17
Guinea,2012,13,15.841886393729188,4
Guinea,2012,14,15.583333333333334,1
