country,year,parity,mean_age_at_birth,n
Gabon,2000,13,38.26133437175776,18
Gabon,2000,14,36.28463306964491,5
Gabon,2000,15,37.468089608433075,3
Gabon,2000,16,38.75,2
Gabon,2000,17,40.5,1
Gabon,2000,18,40.5,1
Gabon,2012,1,19.300887079712794,6383
Gabon,2012,2,22.516798974822308,4877
Gabon,2012,3,25.346203257694842,3607
Gabon,2012,4,27.798710163111853,2701
Gabon,2012,5,29.760885738849534,1944
Gabon,2012,6,31.56174373458464,1380
Gabon,2012,7,33.315613061992444,928
Gabon,2012,8,35.470723615207625,587
Gabon,2012,9,36.74111673722569,361
Gabon,2012,10,37.91479686495975,187
Gabon,2012,11,40.18270826847232,93
Gabon,2012,12,39.309191493954756,41
Gabon,2012,13,41.19439045772908,11
Gabon,2012,14,41.283075989853316,4
Gabon,2012,15,42.19083485633374,3
Gabon,2012,16,44.35109701095595,2
Gabon,2019,1,20.36523864579515,6916
Gabon,2019,2,23.833675974070417,5277
Gabon,2019,3,26.72432366756362,3832
Gabon,2019,4,29.02038326414465,2653
Gabon,2019,5,30.925602662767396,1800
Gabon,2019,6,32.39381085267923,1160
Gabon,2019,7,34.23193949265372,715
Gabon,2019,8,36.003380690879666,431
Gabon,2019,9,37.90842006648884,230
Gabon,2019,10,37.816515577389815,112
Gabon,2019,11,38.09280466996822,63
Gabon,2019,12,37.34648514145483,29
Gabon,2019,13,36.914331396445064,14
Gambia,2013,1,19.689271856081035,6845
Gambia,2013,2,22.435502622251388,5475
Gambia,2013,3,24.84369179418146,4333
Gambia,2013,4,27.240907943536303,3342
Gambia,2013,5,29.636358360869103,2488
Gambia,2013,6,31.74179950637533,1743
Gambia,2013,7,33.67505698222545,1108
Gambia,2013,8,35.1935057815669,664
Gambia,2013,9,36.58724334320416,344
Gambia,2013,10,38.35780658196634,163
Gambia,2013,11,39.97208062731488,68
Gambia,2013,12,42.010979528187065,21
Gambia,2013,13,40.430625896077785,5
Gambia,2013,14,36.5,1
Gambia,2013,15,39,1
Gambia,2019,1,20.281005756989416,7924
Gambia,2019,2,22.96882442973945,6459
Gambia,2019,3,25.475849330713274,5208
Gambia,2019,4,27.878334646670492,4002
Gambia,2019,5,30.11391671693689,2989
Gambia,2019,6,32.175347117072945,2082
Gambia,2019,7,34.289124623806764,1419
Gambia,2019,8,36.20632545592641,854
Gambia,2019,9,37.84027523926145,437
Gambia,2019,10,38.77729419061342,188
Gambia,2019,11,39.793961435020044,70
Gambia,2019,12,39.43255427285238,23
Gambia,2019,13,39.03119947679953,8
Gambia,2019,14,40.82527887393636,2
Ghana,1993,1,19.96262482168331,3505
Ghana,1993,2,22.98445229681979,2830
Ghana,1993,3,25.767713548778637,2197
Ghana,1993,4,28.102440008066143,1653
Ghana,1993,5,30.29587614155251,1168
Ghana,1993,6,32.55407689057879,789
Ghana,1993,7,34.62059369202226,539
Ghana,1993,8,36.216986155484555,313
Ghana,1993,9,37.70520231213873,173
Ghana,1993,10,38.84027777777778,84
Ghana,1993,11,40.51149425287356,29
Ghana,1993,12,40.484848484848484,11
Ghana,1993,13,42.763888888888886,6
Ghana,1993,14,45.666666666666664,1
Ghana,1998,1,20.11644825882165,3499
Ghana,1998,2,23.12458083884698,2798
Ghana,1998,3,25.731186498658953,2170
Ghana,1998,4,28.179531232269202,1642
Ghana,1998,5,30.656576522325658,1177
Ghana,1998,6,32.52028846805898,815
Ghana,1998,7,34.35853123284896,501
Ghana,1998,8,35.8839149231074,291
Ghana,1998,9,37.36586905972307,162
Ghana,1998,10,38.59887517447038,80
Ghana,1998,11,39.38757124319908,35
Ghana,1998,12,41.665028122446834,12
Ghana,1998,13,42.84210273483864,4
Ghana,1998,14,41.042247877937854,2
Ghana,2003,1,20.177480991720916,3992
Ghana,2003,2,23.40352342216861,3200
Ghana,2003,3,26.222441292104772,2522
Ghana,2003,4,28.618875030763377,1879
Ghana,2003,5,30.790610197649247,1364
Ghana,2003,6,32.97801102751814,940
Ghana,2003,7,34.79066280415443,576
Ghana,2003,8,36.60493515367049,336
Ghana,2003,9,37.882695568740296,161
Ghana,2003,10,39.062942294426065,68
Ghana,2003,11,39.02914476043301,31
Ghana,2003,12,40.936413771882926,14
Ghana,2003,13,40.85241122401882,3
Ghana,2008,1,20.457431746502767,3299
Ghana,2008,2,23.691635917522742,2648
Ghana,2008,3,26.30592612944146,2004
Ghana,2008,4,28.919914910842277,1458
Ghana,2008,5,30.98582975399166,991
Ghana,2008,6,32.91599321919663,649
Ghana,2008,7,34.63408620164276,406
Ghana,2008,8,36.14121343332543,231
Ghana,2008,9,36.99933466289644,113
Ghana,2008,10,38.94120851945993,53
Ghana,2008,11,40.721507405740404,23
Ghana,2008,12,41.75482521102996,8
Ghana,2008,13,42.60718533125461,4
Ghana,2008,14,43.333333333333336,1
Ghana,2014,1,20.932152303609662,6511
Ghana,2014,2,24.12473397289412,5208
Ghana,2014,3,26.82598642821576,3954
Ghana,2014,4,29.362838390503406,2883
Ghana,2014,5,31.439066945437666,1976
Ghana,2014,6,33.42429136216628,1233
Ghana,2014,7,35.0877840312507,684
Ghana,2014,8,36.60712394199615,361
Ghana,2014,9,38.29823526267708,194
Ghana,2014,10,38.71731207083793,76
Ghana,2014,11,40.49920069645522,27
Ghana,2014,12,41.98180608619231,9
Ghana,2014,13,44.01652306264163,2
Ghana,2022,1,21.483911313983832,10356
Ghana,2022,2,24.85333672138213,7991
Ghana,2022,3,27.73749787455822,6040
Ghana,2022,4,30.235086261074166,4273
Ghana,2022,5,32.24659361827142,2743
Ghana,2022,6,34.009584609089536,1627
Ghana,2022,7,35.71337949918981,891
Ghana,2022,8,37.0759213276675,427
Ghana,2022,9,38.39007694906218,203
Ghana,2022,10,38.862303423482196,73
Ghana,2022,11,40.021967911714874,25
Ghana,2022,12,39.92296716519101,10
Ghana,2022,13,39.22496153990121,4
Guinea,1999,1,18.538451114970602,5413
Guinea,1999,2,21.379984029447566,4516
Guinea,1999,3,24.032075748747605,3717
Guinea,1999,4,26.52377106822363,2984
Guinea,1999,5,28.93781656903907,2271
Guinea,1999,6,31.162935203251784,1645
Guinea,1999,7,33.22437276059138,1100
Guinea,1999,8,34.97305271266883,649
Guinea,1999,9,36.92983955572034,388
Guinea,1999,10,38.554601984675486,173
Guinea,1999,11,39.5756212465076,61
Guinea,1999,12,40.12436136251115,15
Guinea,1999,13,41.15231835094161,6
Guinea,1999,14,42.71043537278842,3
Guinea,1999,15,37,1
Guinea,1999,16,37,1
Guinea,2005,1,18.911658834606136,6259
Guinea,2005,2,21.82950918576034,5291
Guinea,2005,3,24.472600738468568,4399
Guinea,2005,4,26.922563211798344,3554
